ds	y	chuva1	vazao1	chuva2	vazao2	chuva3	vazao3	chuva4	vazao4	chuva5	vazao5	chuva6	vazao6
2016-05-22	76.593	0.0	45.35104166666667										34.309
2016-05-21	77.192	0.0	41.25416666666667										32.006
2016-05-20	72.424	0.6000000000000001	40.53125										32.328
2016-05-19	71.832	0.0	40.909375										32.653
2016-05-18	73.016	0.0	41.610416666666666										32.653
2016-05-17	72.424	0.0	41.24375										32.653
2016-05-16	71.242	0.0	44.23229166666667										33.64
2016-05-15	73.61	1.0	46.46041666666667										34.986
2016-05-14	71.832	0.0	46.739583333333336										34.646
2016-05-13	74.8	0.0	46.68333333333334										33.974
2016-05-12	73.016	0.0	45.68333333333334										34.646
2016-05-11	74.8	0.0	46.67604166666666										35.328
2016-05-10	77.192	0.0	45.98645833333333										34.986
2016-05-09	76.593	0.0	45.90729166666667										33.974
2016-05-08	78.997	0.0	46.32083333333333										34.986
2016-05-07	77.793	0.0	47.15833333333333										51.658
2016-05-06	82.633	0.0	47.759375000000006										38.138
2016-05-05	86.92	0.0	50.690625										38.861
2016-05-04	94.375	0.0	56.4										41.086
2016-05-03	104.515	0.0	67.15416666666667										48.659
2016-05-02	117.494	0.0	77.75208333333333										68.416
2016-05-01	109.667	0.6000000000000001	75.82604166666667										71.058
2016-04-30	103.235	0.6000000000000001	46.340625										39.594
2016-04-29	73.016	10.4	46.15208333333334										38.861
2016-04-28	67.722	9.8	45.911458333333336										33.974
2016-04-27	68.891	0.0	45.40416666666667										28.89
2016-04-26	69.477	0.0	46.37291666666667										30.112
2016-04-25	68.306	0.0	44.82291666666666										31.049
2016-04-24	66.558	0.0	42.325										31.049
2016-04-23	68.891	0.0	41.59270833333333										31.366
2016-04-22	71.242	0.0	41.775										32.653
2016-04-21	71.832	0.0	41.63333333333333										32.653
2016-04-20	73.61	0.0	41.92604166666667										33.309
2016-04-19	73.61	2.8	41.62083333333333										30.422
2016-04-18	74.8	0.0	40.52395833333333										32.006
2016-04-17	73.016	0.0	40.25										33.309
2016-04-16	73.016	0.0	42.442708333333336										32.98
2016-04-15	75.994	0.0	39.56354166666667										32.653
2016-04-14	75.994	0.0	39.97291666666667										33.64
2016-04-13	78.997	0.0	39.07083333333333										34.646
2016-04-12	79.601	0.0	38.82083333333333										35.328
2016-04-11	82.633	0.0	38.44895833333334										35.671
2016-04-10	85.077	0.0	40.18645833333333										36.715
2016-04-09	83.853	0.0	40.34583333333334										37.422
2016-04-08	85.69	0.0	39.87916666666667										37.422
2016-04-07	88.153	0.0	40.925										39.227
2016-04-06	92.499	0.0	41.125										39.594
2016-04-05	91.253	0.0	43.9										41.086
2016-04-04	98.151	0.0	43.90833333333333										42.613
2016-04-03	101.959	0.0	45.38333333333333										46.587
2016-04-02	103.235	0.0	46.58										47.409
2016-04-01	107.084	0.0	48.9268817204301										46.587
